First_Term_Gpa,Second_Term_Gpa,First_Language,Funding,FastTrack,Coop,Residency,Gender,Previous_Education,Age_Group,Math_Score,English_Grade,First_Year_Persistence
4.113636,3.977273,3,2.0,1,1,0,1.0,2,5,46.0,8,1.0
3.4,3.090909,3,4.0,0,1,1,2.0,1,3,32.6760710553814,7,1.0
2.657895,1.888889,1,4.0,1,1,1,2.0,0,3,14.0,8,1.0
3.826923,4.347826,1,4.0,0,0,1,2.0,2,4,32.6760710553814,9,1.0
1.086957,1.45,3,4.0,1,1,1,1.0,1,1,32.6760710553814,7,0.0
3.28,2.795455,1,2.0,1,1,0,2.0,1,1,28.0,9,1.0
0.0,2.8201755787000775,1,2.0,1,1,0,2.0,0,2,16.0,9,0.0
3.75,3.02381,3,4.0,1,1,1,2.0,1,2,46.0,9,1.0
0.0,2.8201755787000775,1,2.0,1,0,0,2.0,1,2,32.6760710553814,5,0.0
2.318182,0.0,1,2.0,1,1,0,1.0,1,2,17.0,9,1.0
4.057692,3.73913,3,4.0,0,1,1,2.0,2,3,32.6760710553814,9,1.0
1.973684,1.204545,4,4.0,1,1,1,2.0,1,2,32.6760710553814,7,1.0
2.571429,0.0,1,2.0,1,1,0,2.0,0,3,19.0,7,0.0
3.391304,2.547619,3,4.0,0,0,1,2.0,2,3,32.6760710553814,9,1.0
4.2,4.142857,1,2.0,1,1,0,2.0,1,1,25.0,3,1.0
2.73913,2.64,3,4.0,0,1,1,2.0,2,3,32.6760710553814,10,1.0
3.694444,3.166667,3,4.0,0,1,1,1.0,2,3,32.6760710553814,8,1.0
2.804348,3.0,3,4.0,1,1,1,2.0,1,1,42.0,8,1.0
3.0,3.153846,3,4.0,0,1,1,2.0,2,3,32.6760710553814,8,1.0
1.0,1.538462,1,2.0,1,0,0,2.0,1,7,19.0,7,0.0
1.071429,0.0,1,2.0,1,0,0,2.0,1,1,31.0,9,1.0
3.565217,4.0,1,2.0,0,0,0,1.0,2,3,32.6760710553814,9,1.0
4.309524,4.190476,1,2.0,1,1,0,1.0,2,4,39.0,9,1.0
2.033333,2.071429,3,4.0,0,1,1,2.0,1,3,32.6760710553814,9,1.0
3.047619,3.195652,1,2.0,1,0,0,2.0,2,2,34.0,9,1.0
3.409091,2.37037,3,4.0,0,1,1,1.0,2,3,32.6760710553814,8,1.0
4.18,4.152174,3,2.0,0,0,0,2.0,2,4,32.6760710553814,10,0.0
3.954545,3.045455,3,2.0,1,1,0,2.0,1,1,35.0,8,1.0
4.38,4.272727,1,2.0,1,0,0,2.0,1,4,31.0,9,1.0
3.0,3.45,4,4.0,1,1,1,2.0,1,3,32.6760710553814,10,1.0
3.4,3.4,3,2.0,1,0,0,1.0,2,3,33.0,10,0.0
3.217391,3.25,3,4.0,0,1,1,1.0,2,4,32.6760710553814,8,1.0
3.145833,1.619048,3,2.0,1,1,0,2.0,2,4,38.0,8,1.0
2.98,2.6,1,2.0,1,1,0,2.0,1,1,28.0,9,1.0
3.131579,1.25,1,2.0,1,1,0,2.0,1,1,20.0,9,1.0
3.909091,3.159091,3,4.0,1,0,1,2.0,1,4,49.0,8,1.0
4.090909,3.840909,3,4.0,1,1,1,2.0,2,1,45.0,8,1.0
4.176471,4.214286,1,2.0,1,1,0,1.0,2,4,32.6760710553814,8,1.0
3.026316,2.291667,1,2.0,1,0,0,2.0,1,1,25.0,7,1.0
3.619048,4.041667,3,2.0,1,1,0,1.0,2,3,32.6760710553814,8,1.0
0.26087,2.318182,3,4.0,0,0,1,2.0,1,3,43.0,8,1.0
3.54,2.142857,1,2.0,1,1,0,2.0,1,1,31.0,9,1.0
3.611111,3.851852,1,8.0,0,1,0,2.0,2,7,32.6760710553814,10,1.0
0.0,2.8201755787000775,4,4.0,0,1,1,2.0,2,3,32.6760710553814,8,0.0
3.56,3.7,1,2.0,1,0,0,2.0,1,1,46.0,9,1.0
3.475,3.045455,3,4.0,0,1,1,2.0,1,3,32.6760710553814,8,1.0
3.145833,2.5,1,2.0,1,0,0,2.0,1,1,28.0,9,1.0
3.705882,3.673913,3,4.0,0,1,1,2.0,1,3,32.6760710553814,8,1.0
3.840909,4.26087,1,2.0,1,0,0,2.0,1,1,32.6760710553814,5,1.0
